STT,Ma So,Ho va ten,Gioi tinh,Ngay sinh,So CMND
1,22120001,Nguyen Van A,Nam,21/04/2004,4353444354
2,22120002,Bui Duy An,Nam,10/07/2004,43543532
3,22120003,Nguyen Thi Anh,Nu,13/07/2004,87685463
4,22120004,Nguyen Tuan Anh,Nam,02/02/2004,2343254234
5,22120005,Nguyen Van Benh,Nam,05/01/2004,32545435435
6,22120007,Le Thanh B,Nam,02/03/2004,324234543
7,22120008,Nguyen Van B,Nam,12/04/2004,12456576854
8,22120009,Nguyen Van C,Nam,21/09/2004,3245673242
9,22120010,Tran Cuong,Nam,16/03/2004,657865734
10,22120012,Le Minh Cuong,Nam,16/08/2004,345234244
11,22120014,Doan Thanh Cuong,Nam,31/07/2004,565463424
12,22120015,Bui Thanh Duy,Nam,01/04/2004,3254364352
13,22120016,Ngo Ba Duc,Nam,02/04/2004,325436546
14,22120018,Tran Duy Duc,Nam,06/06/2004,234322345
15,22120020,LE Dang,Nam,08/03/2004,654635323
16,22120021,Ho Thi Duyen,Nu,22/04/2004,234242334
17,22120022,Le Thi Duyen,Nu,20/03/2004,32423422
18,22120023,Doan Duy Kien,Nam,14/04/2004,3242342217
19,22120024,Le Anh Kien,Nam,02/12/2004,4565732323
20,22120025,Chau Khanh Linh,Nu,24/12/2004,3243253242
21,22120026,Tran Thi Lien,Nu,01/08/2004,131307867
22,22120027,Nguyen Thi Huyen,Nu,11/05/2004,089675464
23,22120028,Le Anh Hieu,Nam,21/05/2004,0898067855
24,22120030,Nguyen Minh Hieu,Nam,24/09/2004,769706585
25,22120031,Le Tran Minh Hieu,Nam,11/05/2004,07896543
26,22120032,Tran Anh H,Nam,11/03/2004,6746490456
27,22120033,Nguyen Van M,Nam,23/11/2004,688463467
28,22120034,Tran Anh Minh,Nam,14/09/2004,3534537224
29,22120035,Nguyen Thi Minh,Nu,06/07/2004,435752107
30,22120037,Le Thanh Nien,Nam,06/02/2004,432328954
31,22120038,Nguyen Duy Nien,Nam,21/03/2004,5475684364
32,22120040,Nguyen Thi Ngoc,Nu,24/07/2004,435729865
33,22120041,Tran Van Ngoc,Nam,09/07/2004,4572368723
34,22120042,Ho Thanh Nguyen,Nam,26/03/2004,4365372158
35,22120043,Nguyen Thanh Phuong,Nam,29/04/2004,3437126742
36,22120044,Le Anh Phong,Nam,23/03/2004,43624217
37,22120045,Nguyen Duy Phuong,Nam,12/04/2004,236985327
38,22120046,Ho Duy Phuong,Nam,23/02/2004,346217214
39,22120047,Bui Quyen,Nam,29/05/2004,4363732656
40,22120049,Nguyen Quyen,Nam,20/02/2004,4364532574
41,22120050,Nguyen Thi Quyet,Nu,21/08/2004,43534523
42,22120051,Le Thanh Sang,Nam,11/07/2004,25236543643
43,22120052,Nguyen Van Sang,Nam,25/10/2004,256754118
44,22120053,Nguyen Thanh Truc,Nam,24/10/2004,2125330043
45,22120054,Tran My Uyen,Nu,21/04/2004,3423423432
46,22120055,Nguyen Vinh,Nam,17/06/2004,25342365324
47,22120056,Doan Van Vinh,Nam,21/03/2004,32421425
48,22120057,Nguyen Khac Vien,Nam,23/03/2004,23532423532
49,22120058,Nguyen Thi Y,Nu,25/10/2004,98980768
50,22120060,Nguyen Thi Nhu Y,Nu,24/12/2004,086765755
